Store,Dept,Week,Month,Quarter,Year,IsHoliday,Type_enc,Size,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,MarkDown_Total,lag_1,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_12,rolling_std_4,Date,Type,Actual_Sales
1,41,-18.643978,-6.2041316,-0.06901756,-0.8059703,0,-1.8670149,1.6548371,-1.6782784,-8.587908,-14.839248,22.135065,-10.291297,-51.17871,-14.966636,-24.304007,14.670462,2.3515644,-10734.442,-1540.248,137.46431,-1142.4061,-1832.76,-494.58237,56.2756,2012-04-20,A,490.5
44,90,-378.11377,-91.11566,3.7408073,6.9408336,1,0.36707208,-10.278456,-9.52148,13.878109,125.94314,-47.107513,-14.221605,25.17846,-30.65322,-20.328436,-4.4087214,-4.853783,12130.734,1117.5021,-103.3766,-91.9885,376.79227,168.47194,-49.868427,2010-09-10,C,29534.13
18,9,188.87457,93.15957,24.086073,2.0005164,0,1.2234882,2.7729976,7.808482,12.950433,-40.20205,7.6377006,-5.9847655,18.411291,-14.948474,-4.891209,9.239002,-2.7519228,-2476.067,313.76212,7.7404804,-78.59207,-1024.9467,-224.09471,-47.759712,2010-11-05,B,12424.47
3,54,-45.24445,-15.288754,-2.2608953,-1.3297715,0,3.7651808,-27.668627,-4.093507,1.6322582,-14.024756,-2.295359,-10.580496,21.689306,-23.633121,-13.81362,2.9929714,2.2957149,-11021.258,-1637.2976,235.0846,-926.32855,-1914.0573,-552.25287,55.6081,2011-02-25,B,26.8
15,7,9141.692,722.879,110.120384,156.48877,0,1.9923929,41.138027,-106.75609,57.32346,525.16077,134.6659,47.245377,193.96681,10.950326,-2.428231,234.30457,-4.1403346,40181.367,737.16406,864.4004,805.558,4206.5576,1340.9781,333.79614,2010-12-17,B,80062.76
30,40,14.371351,-4.50017,-4.741598,1.4276073,0,0.7316866,-11.093937,-6.901773,23.553537,-29.400143,-17.683151,-31.568642,31.723648,-25.541391,-39.563625,-0.11167657,-3.0033138,8701.794,-76.4326,-18.40389,-153.1627,284.02325,1069.4764,61.390755,2010-03-12,C,25518.87
27,46,5.3293614,146.7646,2.4671323,-5.604981,0,-0.18820229,0.7205918,10.413132,-32.831608,-20.52666,-41.14069,42.763237,-106.51995,-68.84239,114.13339,134.69104,38.097313,24310.24,373.92496,-16.03065,377.3517,1228.8385,885.08813,78.617516,2012-06-15,A,42149.84
17,11,9.366232,-14.297361,-4.6919184,-1.2205906,0,1.0403428,-13.756529,3.7247608,-13.921357,51.04571,13.174925,-11.22164,18.336887,-26.85559,-23.980394,1.1057675,-0.9883596,-2259.6868,-238.28442,-56.396324,-873.78766,-903.2116,-364.78732,50.11622,2011-03-04,B,10865.58
27,5,2.7190197,-0.7038855,-4.124971,-3.0701072,0,-0.1999004,10.217542,-2.4493845,-51.15633,-23.391277,-12.534102,-17.92068,-138.36876,-37.889038,13.3209915,-22.445745,-2.0482063,5661.73,575.7671,-27.117477,-448.89856,123.11739,26.141132,145.97382,2012-03-23,A,18964.23
6,13,-65.30674,53.429737,-5.454997,-5.663816,0,-0.32185027,-4.231044,95.10149,-13.026577,-7.710363,68.32907,-18.773579,42.70809,-73.53586,-21.44338,4.503046,-19.166588,20559.9,-232.12698,-118.39655,1239.4084,534.8992,663.9775,104.94096,2011-08-12,A,35431.84
45,29,-11.882586,-2.9965887,-0.61058384,-0.9134158,0,3.8782392,-3.3935308,-1.2591853,-5.228142,-11.413601,-18.316952,-0.38794982,-71.10929,-15.504526,1.3246593,-9.948079,1.2876214,-7004.5596,-994.3853,-0.41107404,-1210.3707,-1450.7526,-429.4083,66.66503,2012-03-23,B,4195.9
6,6,85.7316,49.698696,9.475048,3.0331588,0,-1.8305758,25.044233,-0.657263,-26.557693,-13.109921,11.147674,-4.184868,17.327301,-13.038207,-6.1656485,4.884623,-1.6384767,-7518.8022,-1113.7788,17.153076,-140.02399,-1731.3787,-418.16364,8.928889,2010-10-08,A,5383.72
30,32,59.597313,42.081165,11.426877,1.9084065,0,3.6620278,-40.216457,-5.975455,-14.020623,-12.960604,-8.359383,-5.125382,16.42296,-13.288119,-4.1150675,5.110718,-0.5125761,-11604.292,-1833.4417,315.28174,-98.10264,-2097.5476,-597.69214,0.31518608,2010-10-29,C,20.0
41,49,-111.791176,5.8944645,-5.2247095,0.6721154,0,-1.5210665,7.3126965,0.021715477,-28.386423,-9.49863,10.572931,-6.942563,14.203029,-15.80087,-7.6281776,-4.423318,-1.7295593,-8118.948,-1106.1605,-3.5852242,-133.86125,-1479.4039,-534.1146,49.266506,2010-07-30,A,5528.49
41,44,6.162431,-2.162625,-1.7690204,-1.6875015,0,-1.5659463,9.280825,3.6374912,-3.0520387,-10.789751,17.894766,-10.804572,18.540468,-16.270758,-16.036291,0.33377805,1.126429,-8077.727,-1395.7251,-18.94539,-1104.4106,-1509.6294,-240.5998,45.04402,2011-03-04,A,4059.14
41,55,-48.081444,1.230572,-0.8510208,-1.6702713,0,-1.5143645,7.798085,-1.4936945,5.199727,-10.22473,20.680576,-7.7711573,16.270956,-20.056875,-13.907568,0.4654123,0.29642984,-5179.225,-1015.7236,-10.504599,-766.99475,-1235.6547,-330.97357,52.710228,2011-06-17,A,6301.45
10,9,27.552982,93.937416,-4.6792164,-4.1343393,0,20.287971,3.1948538,83.65251,-6.712731,413.71738,-116.34182,-22.303768,45.606514,-146.96402,-55.808388,10.610084,-35.187263,33819.18,718.14215,180.84602,6042.636,3820.499,1820.8258,-116.85302,2011-07-08,B,51205.69
30,79,-5.817068,-3.5157204,-1.0051578,-1.4077927,0,3.788462,-25.91827,-0.8036612,4.5859666,-12.892906,-20.440472,-11.03577,16.460451,-22.094292,-29.40635,0.9718372,0.10141902,-5987.856,-1010.90173,2.0427153,-982.52106,-1346.3462,-428.18475,46.46224,2011-04-08,C,6011.61
28,80,-261.418,-58.104374,-4.148783,-3.3427565,1,-0.4343351,4.8898764,6.578027,10.512874,48.06846,-14.940802,-13.323763,24.74935,-29.335815,-15.095703,-2.1391075,-2.762541,5081.9175,290.83536,-18.998486,-721.5399,-441.79944,-185.86766,44.678833,2011-09-09,A,19851.46
15,1,-810.69214,-276.64542,4.4240427,23.697922,0,2.5094137,-12.263915,0.6285274,-9.153722,-46.479183,12.398872,-60.171825,91.59561,-16.987236,-141.25381,0.36028597,8.861452,-4608.5083,636.44965,-214.58633,-116.39167,-893.88727,-133.97546,-2849.0059,2011-01-07,B,7332.82
43,11,-2678.9502,8.280248,9.680764,-22.34522,1,2.4618332,70.91239,8.296189,8.774776,-12.060052,3.6672566,-27.23684,2.9659467,-17.260586,-14.303773,0.9326192,-1.1942576,-8760.18,-1798.3739,-15.606485,-231.00597,-1918.4294,-573.3127,214.12344,2010-12-31,C,1215.59
32,2,138.4458,68.55874,6.422411,-4.3789206,0,-0.25072634,5.2116017,-2.3127472,-32.779408,-51.06229,-75.566734,66.43261,-152.86035,214.54567,-38.386753,-61.682465,-12.2542925,29268.713,719.40607,213.29018,2064.2588,2473.127,935.27655,204.82796,2012-06-01,A,49400.38
10,85,832.8309,38.5761,8.481041,4.7799764,0,5.9439,6.2722545,-1.1919379,12.893892,65.5439,9.643071,-4.0345416,18.699167,-12.719652,-4.274983,6.6133513,-0.5237257,-9262.899,-1711.4929,112.59188,-102.026146,-1826.6691,-331.84305,-82.76578,2010-12-10,B,4273.95
11,97,-253.32797,15.948212,0.037861943,-2.3804274,0,-30.88036,10.963285,4.844583,12.157086,-9.406711,40.48071,-3.0351944,-34.17045,-87.59653,83.05479,-83.32117,13.801664,-516.2974,56.62028,-87.536095,-505.95322,-556.6511,-427.85007,108.57192,2011-12-02,A,14204.09
10,16,-321.99426,-11.319111,-4.779521,-6.3302836,0,1.007194,4.7872095,77.52795,-63.12066,28.633268,15.249291,-39.942917,-114.982994,-135.45216,-39.653763,-70.78903,-25.922163,23570.482,415.82172,-261.70413,1833.8168,1398.4843,692.4933,132.0738,2012-04-27,B,45433.34
32,42,-47.133846,2.0941825,-0.8510208,-1.347183,0,-1.8216982,8.403724,-1.8700864,2.4078536,-11.126627,-18.190668,-8.100965,16.232151,-15.532641,-13.300244,0.7396124,1.0116948,-5061.5747,-945.505,-0.43237,-1319.4702,-1258.3743,-383.1675,50.234467,2011-06-24,A,7490.13
32,23,-77.6438,2.0127976,-4.3266873,-1.8456883,0,-0.22131053,6.5611353,6.3713326,-4.344483,-14.163577,-23.222034,127.48012,-70.84237,-24.229471,85.086815,-5.5067225,14.094363,4583.2534,324.15262,-0.7620416,-728.8644,-302.3227,-242.09627,105.356834,2012-08-03,A,19711.07
15,18,269.1577,162.30617,74.3875,1.5930717,0,3.8784652,6.2564907,3.4831123,19.101093,-40.41815,-6.588643,-6.511543,49.50964,-14.155473,-17.269398,27.922241,14.428694,1982.1814,-1117.23,1284.4094,-178.02724,-993.6908,-452.46674,-187.07103,2010-11-05,B,10368.54
25,79,-68.11041,-16.544518,-3.0072174,-1.3467046,0,3.7710412,1.7088361,4.5930977,-2.792148,-13.789938,-2.4909728,-11.294161,18.337831,-17.896906,-18.178024,3.1529133,0.21741812,-4400.4067,-880.3121,-18.21707,-1154.7225,-1215.2649,-354.1436,70.369484,2011-02-25,B,8868.66
8,33,-63.3205,-67.69996,-3.0999694,-1.1375586,0,-4.264108,-0.46805418,2.1738815,23.180868,-15.92261,26.56339,-21.162796,20.134134,-14.8633585,-21.463425,0.97364926,-0.6203885,-9274.279,-863.0389,-94.936966,-133.62097,-1419.1276,-489.91382,-310.74832,2011-01-07,A,3401.94
1,27,-103.54685,-0.5384748,-5.850189,1.0969481,0,-1.8558053,2.6951673,1.2104065,-15.583307,-12.814309,-13.034196,-6.868192,16.188494,-14.264737,-7.6660204,-0.49561915,-0.3186069,-10861.581,-1689.2197,91.89355,-95.787964,-1933.176,-541.39594,39.506817,2010-07-23,A,819.8
3,79,118.03206,34.5199,9.60072,2.2196708,0,3.7346463,-42.311348,-4.4996223,-24.497536,-13.00892,-7.953743,-5.063111,14.695963,-13.614533,-6.7287154,5.7144074,-2.1177273,-6178.5454,-1150.1196,4.316963,-149.97148,-1408.6461,-495.18277,8.871619,2010-10-08,B,6616.11
22,98,-40.965534,22.225058,-5.8522286,-1.5679225,0,3.8195138,-6.449262,1.7340672,16.332523,-17.215591,-18.578793,-6.933153,21.60855,-21.342512,-6.213649,0.9873695,2.7574348,-11142.125,-1580.4003,168.94862,-895.1825,-1862.3951,-534.2482,26.234634,2011-08-12,B,297.62
31,96,2652.1304,118.864494,8.3119545,-22.734215,1,-0.03889405,25.267159,22.327843,15.051235,-65.9556,4.5033,-27.057343,-143.53448,1058.6267,-29.796942,-65.60724,118.252556,12843.089,761.929,-354.16953,6755.818,296.6092,-905.9493,-380.07632,2011-11-25,A,44202.36
22,7,-147.436,-45.64527,-7.5304337,-5.8603234,0,1.1594437,-5.4390016,5.915779,-27.713993,-27.676657,-31.222631,-28.094402,34.88111,-87.28863,-32.575687,-0.22975875,-8.893775,5996.006,221.35233,-26.07748,1383.8203,-204.52528,-228.52975,114.45624,2011-04-15,B,25086.71
32,23,-245.67897,3.3935087,-4.3266873,-1.6535934,0,-0.22087549,5.3788023,4.5894337,-6.7101088,-15.144539,-33.733204,-10.270818,-84.3185,-45.470882,62.874313,-3.414443,0.45064968,4600.3027,287.29773,-5.3618727,-152.23557,-306.03262,-209.89877,126.07126,2012-07-27,A,20103.16
40,10,-305.55557,26.41364,-3.2094698,-1.1815875,0,1.4447141,4.806142,4.495445,-13.262772,-18.878513,81.26232,-13.544437,-105.96567,-50.416145,23.14808,-12.347815,-0.46273866,4362.5034,111.506065,17.830082,-112.361595,-125.51067,-224.60295,-65.702805,2012-07-27,A,22401.75
1,10,-411.87726,-62.038647,1.2598469,10.859964,1,-0.6526003,9.879221,-6.5007987,-73.456894,-25.736797,-1.9366076,-3.2065027,25.215265,-31.833704,-15.234227,-0.872775,-1.5689794,15570.998,1218.7227,-138.83049,-40.501694,256.67444,196.92975,60.88857,2010-09-10,A,32256.12
30,97,-20.460894,0.905853,0.5943928,-2.1892648,0,3.782798,-29.488836,1.8794581,-8.746818,-18.370825,21.787058,-8.190562,15.822277,-21.308466,-17.515747,-9.1185465,-1.7402867,-559.2989,-11.448808,-34.38876,-760.28644,-717.548,-370.8129,59.09659,2012-05-18,C,13880.65
27,20,1973.5398,161.7505,5.848559,-16.481705,1,4.34121,20.3096,14.714211,-25.246557,-16.83148,-33.135014,-10.115314,-104.52093,473.477,-28.24152,-27.955257,226.0905,-2346.5457,-233.23189,66.96337,3216.1252,-953.9752,7.6104794,-250.14502,2011-11-25,A,17293.1
31,12,-28.473671,76.13919,5.0954876,-1.6259452,0,-1.9586093,17.594116,0.15086898,12.408367,-11.91132,-0.7868122,0.37004507,-50.13171,17.889273,-9.157445,1.3957295,-13.165376,-8990.365,-1547.7085,95.06658,-1237.7996,-1666.1401,-286.53354,34.167778,2011-11-18,A,2311.88
11,9,-12.486598,17.001316,-4.0977507,1.1586174,0,-0.32614195,12.4476795,8.094724,-11.771219,-35.08768,-1.3412256,-15.60737,29.463593,-19.621689,-5.1594105,1.0260649,-2.2499354,6608.695,393.5252,-12.579022,-162.22534,226.79782,-295.9158,67.49522,2010-06-18,A,19460.6
20,12,-95.7028,-0.78681093,-8.744885,-1.1662815,0,-1.7545632,9.937347,2.8233993,2.5018184,-15.620257,19.854177,-8.065795,16.156607,-15.781829,-9.436253,0.8881472,0.46385416,-3755.696,-696.4385,-1.3236399,-1166.1155,-1154.4636,-230.97786,37.317688,2011-08-26,A,9778.49
36,81,-35.557247,48.725574,4.3286114,-1.5405369,0,-3.3920078,-51.69293,-1.7956345,-5.8692336,-19.92943,-12.960741,-5.8185644,11.278492,-13.56301,-9.129563,-27.142475,-1.7331986,-2772.7678,-796.715,5.1623583,-530.13324,-948.0563,-100.60126,54.14448,2011-12-02,A,10541.68
18,21,-36.632263,3.8935025,-5.5656614,-1.2883853,0,3.6336303,-4.5854244,-0.15463251,1.0897626,-15.723334,-0.11417033,-8.044337,15.810746,-22.288977,-13.661698,1.1101532,0.8075247,-6685.4536,-1399.6672,22.96179,-862.46606,-1456.774,-232.5813,48.111217,2011-07-01,B,5639.03
10,7,-321.57498,-35.149437,5.6299534,-10.1952,0,1.2069622,4.1804843,73.64543,-8.907907,278.92465,-58.65891,-15.775413,37.168415,-69.68292,-22.826893,0.41219398,-17.31122,23011.643,-1027.5186,-76.87448,628.68646,1181.3807,648.6193,142.15031,2011-09-30,B,40164.69
24,40,1660.5765,1.4250758,2.3345394,-22.77709,0,-0.33656883,-5.5077004,-6.1977406,23.064064,-26.77667,-75.178185,60.211155,79.25264,95.94773,68.319984,-32.832848,71.30735,25378.133,81.41435,-148.88365,1744.8698,1256.9,509.6353,-115.07869,2011-12-09,A,45918.67
24,12,1818.7284,37.710503,6.8940268,-37.60986,0,-1.0279633,34.977497,-44.42218,7.2329745,-18.759712,-16.548239,-33.816174,-107.49736,23.270996,-15.560578,-29.31672,-2.1798577,-9602.103,-1655.2406,48.594456,-1226.3616,-1663.1473,-229.49893,-139.29054,2011-12-23,A,2329.15
45,25,-176.05762,-29.740103,-2.4978092,-1.4851288,1,4.5359354,-3.8917344,1.8706536,8.550015,-15.613186,-21.165768,67.52753,-41.060062,53.183376,38.196728,-10.344594,-0.9460899,-4532.151,-870.6033,6.038918,-1007.4928,-1171.1357,-333.44745,26.325657,2012-09-07,B,7950.87
25,29,-168.3286,-30.794107,-5.358314,1.6726507,0,3.6561248,2.9903417,-3.7619727,-27.394344,-12.783917,-5.0446877,-8.01147,12.763146,-15.27369,-9.792391,-0.481401,-1.1019922,-9467.554,-1624.6776,19.816923,-129.32938,-1680.9496,-365.00085,68.14041,2010-09-24,B,2767.95
29,17,153.39944,89.67,16.053205,1.770107,0,3.8781247,-15.526583,6.54547,11.574792,-39.752655,4.7661977,-5.7892504,15.75662,-15.131224,-6.051625,4.858672,-2.61071,-4564.0747,-894.46375,44.828888,-107.18565,-1510.7642,-438.45728,-33.858955,2010-11-05,B,9263.51
26,27,-18.234547,-7.0025635,-0.62349737,-0.9071312,0,-1.8172791,1.1062305,5.411069,-2.1326985,-17.579138,1.9932662,-5.7356215,-48.544724,-13.780152,-13.668594,-11.424003,2.022547,-10153.887,-1519.312,110.4713,-1111.8391,-1814.8267,-468.42615,55.288853,2012-04-27,A,704.27
10,92,-368.02878,20.016415,-2.5330033,-4.7166886,0,1.3020276,4.264929,9.400435,-27.30861,29.980595,-60.37239,-24.958115,47.133774,-120.18164,-45.916233,-9.37141,-32.55502,26968.553,1224.5172,300.2296,1915.5033,2496.508,1354.001,39.556515,2011-04-01,B,47620.96
19,22,-151.95139,-3.703833,-7.563036,-1.1177813,0,-1.7721732,8.7493105,2.0623498,-12.980493,-17.504337,-19.258842,-8.555975,19.519758,-34.534573,-13.281178,-0.05155341,-2.177282,-1437.8435,-642.9543,-0.5583931,-394.66135,-875.795,-183.02885,53.208317,2011-07-22,A,10729.24
21,93,-6.458204,-1.1837457,-0.6582432,-0.8945253,0,3.74056,-1.903809,-1.1384459,2.9083543,-14.88845,22.04133,0.2892143,-50.257812,-18.449537,-16.652178,6.58194,2.2680106,-10455.751,-1587.2773,147.86656,-1131.7523,-1816.4733,-488.37518,56.557034,2012-03-23,B,691.58
9,27,-10.227669,-2.4956985,-0.3279938,0.9185197,0,1.0589138,-2.504438,-1.81394,4.8568625,-9.06787,31.864786,-11.477353,17.839712,-16.129276,-17.495062,-0.70207596,-1.2779918,-10708.803,-1701.7648,-37.043694,-121.568665,-2030.9978,-370.14392,36.197544,2010-03-12,B,876.25
1,54,-166.03665,-23.281282,-5.7165847,1.7287892,0,-1.8558053,3.101581,0.37560546,-22.887407,-13.904405,-14.725024,-7.926979,14.709114,-14.420886,-7.228766,-0.52052844,-0.31863278,-11540.202,-1689.3707,171.9657,-101.15161,-1992.1526,-621.13446,51.81907,2010-09-24,A,55.0
41,29,-21.40387,-0.5005452,-1.0229838,-1.648245,0,-1.546262,9.250803,1.8658148,5.0775175,-9.041673,19.521244,-8.897766,17.28932,-16.377024,-11.70153,0.1414053,1.297236,-8087.869,-1461.4633,-2.7691383,-1305.5026,-1595.9325,-280.96317,48.17961,2011-04-15,A,3824.74
3,10,-35.161987,-10.534082,-5.1365166,-1.1632677,0,3.86025,-31.30046,-3.509917,-2.5960605,-14.397207,-11.791436,-11.133772,17.911074,-23.793118,-20.684177,0.0073680887,-0.694666,-2584.459,-647.4216,-3.842451,-1006.7035,-959.291,-150.98915,43.522,2011-03-11,B,10549.07
3,24,-28.857592,-3.0312274,-0.7772778,1.2735837,0,3.7597675,-24.404314,-4.7116585,16.927362,-12.956496,-1.1621859,-8.181785,15.614231,-15.366668,-8.716691,-1.0688342,-0.50368756,-9884.357,-1709.9353,79.30946,-119.56745,-1852.3452,-375.2885,38.227222,2010-04-16,B,1713.18
16,98,-108.697586,9.18978,-4.893296,-1.1633174,0,3.7710986,-15.108207,0.39129692,5.0028305,-17.053612,44.314617,-4.703651,-51.87551,-23.360525,-2.9373047,-8.917067,1.9435706,-11121.54,-1614.8268,273.99347,-932.18097,-1952.8708,-530.5392,49.14089,2012-07-13,B,6.8
38,94,-17.452528,15.468574,-4.1988063,-2.9671965,0,-0.7180208,-21.556181,12.298663,-19.256613,64.826195,-5.9671664,-15.181775,22.945,-58.960785,-14.462315,0.3609158,-10.113139,5428.8486,226.43831,11.522742,490.99338,-321.85458,-200.4084,45.5879,2011-08-05,C,25391.31
5,26,-57.556828,-42.862144,-2.6399791,-0.8803178,0,1.1977013,9.720275,-0.51100373,15.666864,-16.063107,29.286884,-3.8978195,-74.81361,-6.0043488,-18.321505,-9.6941185,-2.1061258,-9377.504,-1483.7589,-109.68551,-1259.9457,-1526.64,-317.09348,88.66596,2012-01-06,B,1223.49
45,98,19.361423,-0.06302674,-1.508206,-1.6577197,0,4.065953,-7.1713924,-0.18357947,4.4881544,-10.8676405,-18.210846,0.036770776,-97.30923,-18.936745,80.96898,-9.196248,-2.0175884,-10341.478,-1562.1646,77.929924,-1099.103,-1809.3552,-488.03226,50.618427,2012-03-16,B,747.5
2,14,-171.90584,-0.6155743,-3.6576493,-1.496557,0,-0.25511277,4.658225,7.5296583,-8.607876,-16.66843,33.472713,-5.5381155,-47.3035,-34.274498,61.518684,6.0830727,-1.5449979,2221.5312,154.9429,6.076059,-633.4186,-566.693,-234.44612,85.25282,2012-08-17,A,17888.07
4,21,-32.052933,-13.283059,-2.3473773,0.16400363,0,-1.8260512,8.238038,0.43924,-0.4683517,31.197254,37.241047,-7.6316447,-39.749477,-15.119258,-19.684246,-4.401491,-0.6636348,-4334.438,-720.0412,3.9106138,-1371.6968,-1114.5682,-282.6039,68.44783,2012-03-30,A,8961.67
4,87,-197.81607,20.546944,22.991446,2.3769426,0,-0.28335965,6.0312824,-4.806547,-10.55399,62.300262,17.642775,-9.352529,13.545525,-17.346617,-7.1279874,5.251509,-2.3918536,-1158.1985,99.22786,7.5077505,-206.75687,-786.9134,-560.6705,50.68675,2010-10-01,A,11940.87
34,59,-30.836071,-2.1363378,-0.2956599,-1.4310622,0,-1.8411219,2.8896804,-0.23833814,-1.0006421,24.552603,0.14884704,1.033123,-51.367546,-22.566221,-9.05005,1.3135992,2.6727138,-11059.978,-1582.2078,148.07407,-962.57965,-1856.5894,-542.87244,43.83608,2012-06-22,A,171.75
8,52,-159.75494,-27.59964,-5.4704156,-1.631515,0,-1.8541887,1.0277183,-0.08149728,2.7254174,-16.661789,33.897614,-8.0259905,16.08854,-14.422706,-10.1524935,0.8221703,3.2144895,-9204.933,-1470.9697,84.77202,-1084.3553,-1635.8445,-417.66614,61.893124,2011-09-23,A,1489.47
45,46,-211.2683,-43.802643,-9.014372,1.8835424,0,5.3596787,-1.3252276,-4.8598824,-14.807916,-13.821316,1.4011334,-11.053428,13.992198,-17.959414,-0.74764967,-2.605284,-2.8299189,-615.07916,-65.74381,-16.580097,-142.52754,-761.47473,-472.5916,69.1747,2010-09-24,B,13108.23
28,97,224.06984,278.57944,9.207003,30.344604,0,-1.4616934,4.520665,-11.521568,16.612864,-21.5748,-15.285013,0.28893074,60.354958,-17.31409,-21.76088,62.437805,-0.7604997,16027.001,646.5592,-109.3412,-182.16919,-636.8255,21.559324,-107.93391,2010-11-12,A,21926.57
14,22,-56.673206,-6.2056894,-1.0491261,-1.5573211,0,-1.7731028,3.269824,1.2750642,-13.022607,-14.032683,-26.891985,-5.2962217,-51.966156,-48.052048,-17.247593,-12.571629,-2.328482,118.876526,40.85342,-20.624144,193.0355,-646.3762,-396.87457,70.149895,2012-06-29,A,13600.09
43,95,-132.74086,125.48444,-3.7246702,-24.11288,0,7.9474874,64.71553,14.848942,20.23803,-76.180046,-80.17951,-11.356419,93.45737,-400.88507,-33.468548,12.864323,-108.77113,46017.555,1201.7711,447.352,8878.286,5685.606,1163.0701,69.510704,2011-06-17,C,82492.58
28,44,-19.779125,9.500013,-1.988211,-0.891503,0,-1.8440928,7.4224873,4.6670113,6.960498,24.959188,0.48147637,47.548306,-37.177322,39.74698,104.20451,18.851112,-0.11407944,-7800.1978,-1448.1162,16.104628,-1267.9083,-1540.5771,-224.17613,56.927547,2012-08-03,A,3703.76
40,46,-49.25729,-10.230394,-5.2805867,-1.4328924,0,-0.15340751,1.6631414,4.252181,3.7705333,-14.83486,36.99753,-12.085159,18.342659,-17.455498,-19.308605,0.5564831,1.1047705,-3778.2058,-707.5192,-24.868473,-1285.1001,-1117.7445,-284.64447,51.493332,2011-03-25,A,8377.77
7,85,146.26352,37.518867,9.526557,-1.9398394,0,3.7713218,-17.704346,3.7996972,1.0442674,-12.9763775,-18.65214,-5.36494,16.00613,-14.013263,-6.3364954,6.240127,2.4592044,-9070.1,-1549.3049,64.17055,-1234.2405,-1705.2926,-284.76147,14.290957,2011-10-07,B,2735.69
20,2,468.95123,86.59881,37.00579,-14.542024,0,-40.05335,5.067479,2.1365619,51.787033,-104.54976,102.00357,-9.441558,99.19214,-115.10923,-16.147408,45.670986,-57.625755,44069.0,1422.7423,650.1102,5898.5615,6609.4917,3794.5872,-113.025345,2011-10-07,A,76840.65
